,sample_idx,src_text,reference_fr,base_pred,ft_pred,bleu_base,bleu_ft
118,118,"Article 40 PostVerfG 1989, which provided that debt obligations issued by Deutsche Bundespost had the same legal value as debt obligations issued by Germany, had therefore only declaratory character.","L’article 40 de la PostVerfG de 1989, qui précise que les titres de dettes de Deutsche Bundespost sont assimilés à des titres de dettes de l’État, a un caractère purement déclaratif.","L'article 40 PostVerfG 1989, qui dispose que les titres de créance émis par Deutsche Bundespost ont la même valeur juridique que les titres de créance émis par l'Allemagne, n'a donc qu'un caractère déclaratoire.","L'article 40 de la PostVerfG 1989, qui dispose que les titres de créance émis par Deutsche Bundespost ont la même valeur juridique que les titres de créance émis par l'Allemagne, n'a donc qu'un caractère déclaratif.",12.605968092174914,18.53308019864711
119,119,"Austria, Ρ = Portugal, FIN - Finland, S = Sweden, UK = United Kingdom","Désignation des États membres: Β = Belgique, DK = Danemark, D = Allemagne, EL = Grèce, E = Espagne, F = France, IRL = Irlande, I = Italie, L = Luxembourg, NL = Pays-Bas, A = Autriche, Ρ = Portugal, FIN = Finlande, S = Suède, UK = Royaume-Uni","Autriche, Ρ = Portugal, FIN - Finlande, S = Suède, UK = Royaume-Uni","Autriche, Ρ = Portugal, FIN - Finlande, S = Suède, UK = Royaume-Uni",5.217515616375678,5.217515616375678
120,120,to save administrative costs stemming from postal services and money orders.,22 une économie de frais de gestion inhérente au frais du courrier postal ainsi qu 19aux mandats cartes.,d'économiser les coûts administratifs découlant des services postaux et des mandats.,d'économiser les coûts administratifs résultant des services postaux et des mandats.,2.247346032110286,2.247346032110286
121,121,We have 416 guests and no members online,Nous avons 212 invités et aucun membre en ligne,Nous avons 416 invités et aucun membre en ligne,Nous avons 416 invités et aucun membre en ligne,66.06328636027612,66.06328636027612
122,122,- Did you spring the girl yet? - No.,- Vous avez fait sortir la fille ?,- Tu as fait sortir la fille ?,- Tu as fait sortir la fille ?,54.10822690539397,54.10822690539397
123,123,"As well, they are higher in some neighbourhoods within Canadian cities.215 Lower-income families and individuals at the lowest income levels tend to be concentrated in lower-income neighbourhoods.216 As a result, they not only deal with individual poverty but with the impacts of living in the economically disadvantaged community around them.","Toutefois, la pauvreté ne se limite pas au manque d'argent (pauvreté matérielle), elle comprend également la pauvreté sociale (incapacité de prendre part à la société)214. Cet aspect est particulièrement pertinent pour l'étude des effets à long terme sur les enfants élevés dans la pauvreté.","De plus, ils sont plus élevés dans certains quartiers des villes canadiennes.215 Les familles et les personnes à faible revenu qui ont les niveaux de revenu les plus bas ont tendance à se concentrer dans les quartiers à faible revenu.216 Par conséquent, non seulement elles s'attaquent à la pauvreté individuelle, mais aussi aux répercussions de la vie dans la collectivité économiquement défavorisée qui les entoure.","De plus, ils sont plus élevés dans certains quartiers des villes canadiennes.215 Les familles et les personnes à faible revenu qui ont les niveaux de revenu les plus bas tendent à être concentrées dans les quartiers à faible revenu.216 Par conséquent, non seulement elles s'attaquent à la pauvreté individuelle, mais aussi aux répercussions de la vie dans la collectivité économiquement défavorisée qui les entoure.",2.352445444080045,2.3476363311415374
124,124,"The offer by the strongest country in Europe, Germany, to share its greatest source of strength, its currency, with neighbouring countries is a historic step.","La volonté du premier pays d'Europe, l'Allemagne, de partager avec ses voisins son principal moyen de pression, c'est-à-dire sa devise, revêt une signification historique.","L'offre du pays le plus fort d'Europe, l'Allemagne, de partager sa plus grande source de force, sa monnaie, avec les pays voisins est une étape historique.","L'offre du pays le plus fort d'Europe, l'Allemagne, de partager sa plus grande source de force, sa monnaie, avec les pays voisins est une étape historique.",20.064835797942465,20.064835797942465
125,125,"When considering an application for a preventive measure in the form of remand in custody or for the extension of the period of remand in custody, the courts are under an obligation to verify whether the detention is lawful.","Lors de l'examen d'une demande de mise en détention ou de maintien en détention, le tribunal est tenu de s'assurer de la légalité de la détention.","Lorsqu ' ils examinent une demande de mesure préventive sous forme de détention provisoire ou de prolongation de la période de détention provisoire, les tribunaux sont tenus de vérifier si la détention est légale.","Lorsqu'ils examinent une demande de mesure préventive sous forme de détention provisoire ou de prolongation de la période de détention provisoire, les tribunaux sont tenus de vérifier si la détention est légale.",4.877324444306589,5.177813034788801
126,126,I'm just here to let y'all know that movie night's been moved to Joe's place.,Je viens pour vous dire que la soirée ciné se fait chez Joe.,Je suis juste là pour vous faire savoir que la soirée cinéma a été déplacée chez Joe.,Je suis juste là pour vous faire savoir que la soirée cinéma a été déplacée chez Joe.,15.733304984782075,15.733304984782075
127,127,"Users collaborate through shared folders and documents for the deliverables to define status, approve and review. Key features & benefits Quickly access all assigned tasks","Les utilisateurs collaborent par l'intermédiaire de dossiers et documents partagés sur les livrables, afin de définir leur état, de les passer en revue et de les approuver.","Les utilisateurs collaborent par l'intermédiaire de dossiers et de documents partagés pour définir le statut, approuver et examiner les produits livrables.","Les utilisateurs collaborent par l'intermédiaire de dossiers et de documents partagés pour définir l'état, l'approbation et l'examen des produits livrables. Principales caractéristiques et avantages Accès rapide à toutes les tâches assignées",28.683525798976813,26.1466741573825
128,128,I saw some of his articles.,J'ai lu ses articles.,J'ai vu certains de ses articles.,J'ai vu certains de ses articles.,26.269098944241588,26.269098944241588
129,129,"Agriculture, forestry, fishing Mining and quarrying","Agriculture, sylviculture, pêche Industries extractives","Agriculture, sylviculture, pêche Mines et carrières","Agriculture, sylviculture, pêche Mines et carrières",51.697315395717055,51.697315395717055
130,130,"Our relationship to money, our attitude toward the poor, is a gauge of our discipleship in the following of Jesus, who came among us to set us free and to proclaim good news to the poor, liberty to slaves and justice for all.","Notre relation à l’argent, notre attitude envers les pauvres sont un lieu de vérification de notre vie de disciples à la suite du Christ qui est venu parmi nous pour nous libérer et annoncer la bonne nouvelle aux pauvres, la liberté aux esclaves et la justice pour tous.","Notre relation à l'argent, notre attitude envers les pauvres, est une mesure de notre disciple dans la suite de Jésus, qui est venu parmi nous pour nous libérer et annoncer la bonne nouvelle aux pauvres, la liberté aux esclaves et la justice pour tous.","Notre relation à l'argent, notre attitude envers les pauvres, est une mesure de notre disciple dans la suite de Jésus, qui est venu parmi nous pour nous libérer et annoncer la bonne nouvelle aux pauvres, la liberté aux esclaves et la justice pour tous.",64.33214118986388,64.33214118986388
131,131,"How to Use This Booklet The suggestions outlined below are intended for managers, Human Resources professionals and employees.","Comment utiliser cette brochure Les suggestions qui suivent s'adressent aux gestionnaires, aux professionnels des Ressources humaines et au personnel.","Comment utiliser ce livret Les suggestions ci-dessous s'adressent aux gestionnaires, aux professionnels des ressources humaines et aux employés.","Comment utiliser ce livret Les suggestions présentées ci-dessous s'adressent aux gestionnaires, aux professionnels des ressources humaines et aux employés.",36.49716704775572,36.394125309794774
132,132,(Amused) On you? What?,Tu payes ?,Quoi ?,(Amusée) Sur toi ?,0.0,8.116697886877475
133,133,You think it's easy being gay in the South?,Difficile d'être gay dans le sud.,Tu penses que c'est facile d'être gay dans le Sud ?,Tu penses que c'est facile d'être gay dans le Sud ?,23.462350320528007,23.462350320528007
134,134,- You're invited? Who's that?,"- Qui c'est, ça ?",- Qui est-ce ?,- Qui est-ce ?,21.444097124017667,21.444097124017667
135,135,Come on.,"Allez, viens.",Allez.,Allez.,0.0,0.0
136,136,The robots will be used to enhance security at the 2010 Olympics in Vancouver.,Ses capteurs détectent les bombes dans la soute ou la cabine de l'avion.,Les robots seront utilisés pour améliorer la sécurité aux Jeux olympiques de 2010 à Vancouver.,Les robots seront utilisés pour améliorer la sécurité aux Jeux olympiques de 2010 à Vancouver.,3.21858262703621,3.21858262703621
137,137,Doubtful that the browser plugin does anything with this.,Il est peut probable que le navigateur ou le lecteur ne fasse quoi que ce soit avec.,Il est douteux que le plugin du navigateur fasse quoi que ce soit avec cela.,Il est douteux que le plugin du navigateur fasse quoi que ce soit avec cela.,34.39597822708345,34.39597822708345
138,138,I found it in Jerry's office.,Je l'ai trouvé dans le bureau de Jerry.,Je l'ai trouvé dans le bureau de Jerry.,Je l'ai trouvé dans le bureau de Jerry.,100.00000000000004,100.00000000000004
139,139,It's me.,C'est moi.,C'est moi.,C'est moi.,0.0,0.0
140,140,"Sister Therese is outside, patrolling the perimeter.","Soeur Thérèse est dehors, patrouillant le périmètre.","Soeur Thérèse est dehors, en train de patrouiller le périmètre.","Soeur Thérèse est dehors, en train de patrouiller le périmètre.",42.40125351805035,42.40125351805035
141,141,"This policy applies: 1. with respect to accommodation within the workplace, to all departments and agencies and other portions of the Public Service listed in Part 1 of Schedule 1 of the Public Service Staff Relations Act for whom the Treasury Board is the employer and 2. with respect to accommodation during staffing processes, to all departments and agencies and other portions of the Public Service for which the Public Service Commission has exclusive authority to appoint persons.","La présente politique s'applique : 1. en ce qui a trait aux mesures d'adaptation dans le milieu de travail, à tous les ministères et organismes et autres secteurs de la fonction publique fédérale énumérés à la partie I de l'annexe I de la Loi sur les relations de travail dans la fonction publique et pour lesquels le Conseil du Trésor est l'employeur; 2. en ce qui a trait aux mesures d'adaptation à prendre durant le processus de dotation, à tous les ministères et organismes et autres secteurs de la fonction publique fédérale pour lesquels la Commission de la fonction publique a le pouvoir exclusif de procéder aux nominations.","La présente politique s'applique : 1. aux mesures d'adaptation en milieu de travail, à tous les ministères et organismes et aux autres parties de la fonction publique énumérées à la partie 1 de l'annexe 1 de la Loi sur les relations de travail dans la fonction publique pour lesquelles le Conseil du Trésor est l'employeur et 2. aux mesures d'adaptation pendant les processus de dotation, à tous les ministères et organismes et aux autres parties de la fonction publique pour lesquelles la Commission de la fonction publique a le pouvoir exclusif de nommer des personnes.","La présente politique s'applique : 1. aux mesures d'adaptation en milieu de travail, à tous les ministères et organismes et aux autres secteurs de la fonction publique énumérés à la partie 1 de l'annexe 1 de la Loi sur les relations de travail dans la fonction publique pour lesquels le Conseil du Trésor est l'employeur et 2. aux mesures d'adaptation durant les processus de dotation, à tous les ministères et organismes et aux autres secteurs de la fonction publique pour lesquels la Commission de la fonction publique a le pouvoir exclusif de nommer des personnes.",52.776138213795385,60.48769577774272
142,142,"- Well, we do timed laps now, that's what we do.","- Ben on fait des courses au chrono maintenant, c'est ça qu'on fait.","- On fait des tours chronométrés, c'est ce qu'on fait.","- On fait des tours chronométrés maintenant, c'est ce qu'on fait.",14.919431164109403,19.402570578233032
143,143,- You're either late or early. I need you to call up to Records.,Appelle les Archives.,- Vous êtes en retard ou en avance.,J'ai besoin que tu appelles Records.,4.767707020457095,6.567274736060395
144,144,"In such cases, negotiations concerning harvesting rights in offshore areas will be conducted, to the extent possible, in accordance with the same principles as those which apply to lands.","Dans de tels cas, des négociations concernant les droits de récolte dans les zones extracôtières seront menées, dans la mesure du possible, conformément aux mêmes principes que ceux qui s'appliquent pour les terres.","Dans de tels cas, des négociations concernant les droits de récolte dans les zones extracôtières seront menées, dans la mesure du possible, conformément aux mêmes principes que ceux qui s'appliquent aux terres.","Dans de tels cas, des négociations concernant les droits de récolte dans les zones extracôtières seront menées, dans la mesure du possible, conformément aux mêmes principes que ceux qui s'appliquent aux terres.",90.80539398637048,90.80539398637048
145,145,"Can you use the downstairs toilet from now on,mr. Wilson?","Vous pouvez utiliser les toilettes du bas à partir de maintenant, Mr Wilson ?","Pouvez-vous utiliser les toilettes du bas à partir de maintenant, M. Wilson ?","Pouvez-vous utiliser les toilettes du bas à partir de maintenant, M. Wilson ?",67.29864884660302,67.29864884660302
146,146,I am also concerned about reports of police and militias colluding to abduct people to extract bribes from their families.,Je suis par ailleurs préoccupé par les informations selon lesquelles la police et les milices collaboreraient pour enlever des personnes et soutirer des rançons à leur famille.,Je suis également préoccupé par les informations selon lesquelles des policiers et des milices se seraient mêlés pour enlever des personnes afin d'extraire des pots-de-vin de leur famille.,Je suis également préoccupé par les informations selon lesquelles des policiers et des milices se seraient mêlés pour enlever des personnes afin d'extraire des pots-de-vin de leur famille.,31.403822939177477,31.403822939177477
147,147,"I'm tracing the packet routes, but it's... it's gonna take time.",Je trace les données mais... ça va prendre du temps.,"Je trace les itinéraires des paquets, mais ça va prendre du temps.","Je trace les itinéraires des paquets, mais ça va prendre du temps.",45.72313446186435,45.72313446186435
148,148,No! I don't think you understand!,Vous ne comprenez pas !,Je ne crois pas que vous compreniez !,Je ne crois pas que tu comprennes !,7.267884212102741,7.267884212102741
149,149,"Factors contributing to participant concerns about target-setting included the current lack of scientific data upon which to base targets, an inability to quantify the changing target's ""denominator"" (i.e. the number of persons with high-risk conditions), difficulties defining target groups, and measurement challenges.","Les inquiétudes des participants à l'égard de l'établissement de cibles portaient sur l'absence actuelle de données scientifiques sur lesquelles fonder ces cibles, l'incapacité à quantifier le « dénominateur » variable des cibles (c.-à-d. le nombre de personnes atteintes de maladies les exposant à un risque élevé), les difficultés à définir les groupes cibles et les problèmes liés à l'évaluation.","Parmi les facteurs qui ont contribué aux préoccupations des participants au sujet de l'établissement des cibles, mentionnons le manque actuel de données scientifiques sur lesquelles fonder les cibles, l'incapacité de quantifier le « dénominateur » de la cible en évolution (c.-à-d. le nombre de personnes présentant des conditions à risque élevé), les difficultés à définir les groupes cibles et les défis de mesure.","Parmi les facteurs qui ont contribué aux préoccupations des participants à l'égard de l'établissement des cibles, mentionnons le manque actuel de données scientifiques sur lesquelles fonder les cibles, l'incapacité de quantifier le « dénominateur » de la cible changeante (c.-à-d. le nombre de personnes présentant des conditions à risque élevé), les difficultés à définir les groupes cibles et les défis de mesure.",43.356863828189375,48.64116600259055
150,150,Time required to load and Page Building: 0.0292 sek.,Temps de calcul et construction de la page: 0.2900 sek.,Temps nécessaire pour charger et Page Building : 0.0292 sek.,Temps nécessaire pour charger et Page Building: 0.0292 sek.,8.606119900909883,8.606119900909883
151,151,Three donkeys.,3 ânes.,Trois ânes.,Trois ânes.,0.0,0.0
152,152,So you didn't know of Helene's death?,Tu ne savais pas pour la mort d'Hélène ?,Donc vous ne saviez pas la mort d'Helene ?,Donc vous ne saviez pas la mort d'Helene ?,11.99014838091355,11.99014838091355
153,153,Come on! Move!,"Allez, avancez !",Allez !,Allez !,0.0,0.0
154,154,"Recognizing also the importance of the transfer of technology to the developing countries and countries with economies in transition, as an effective means of international cooperation in the pursuit of poverty eradication and sustainable development,","Consciente également de l'importance du transfert de technologie aux pays en développement et aux pays en transition, en tant que moyen de coopération internationale efficace dans la lutte contre la pauvreté et la promotion du développement durable,","Consciente également de l ' importance du transfert de technologie aux pays en développement et aux pays en transition, en tant que moyen efficace de coopération internationale en vue de l ' élimination de la pauvreté et du développement durable,","Consciente également de l'importance du transfert de technologie aux pays en développement et aux pays à économie en transition, en tant que moyen efficace de coopération internationale pour l'élimination de la pauvreté et le développement durable,",56.797106917360225,61.390035188271376
155,155,"Before the date referred to in Article 11 (1), Member States shall publish in an appropriate publication and communicate to the Commission the criteria which are to be taken into account by the competent authorities in deciding whether or not to include medicinal products on the lists.","Les États membres publient dans une publication appropriée et communiquent à la Commission, avant la date visée à l'article 11 paragraphe 1, les critères sur lesquels les autorités compétentes doivent se fonder pour décider d'inscrire ou non des médicaments sur les listes.","Avant la date visée à l'article 11 paragraphe 1, les États membres publient dans une publication appropriée et communiquent à la Commission les critères à prendre en considération par les autorités compétentes pour décider d'inclure ou non des médicaments sur les listes.","Avant la date visée à l'article 11 paragraphe 1, les États membres publient dans une publication appropriée et communiquent à la Commission les critères à prendre en considération par les autorités compétentes pour décider d'inclure ou non des médicaments sur les listes.",63.65711844058485,63.65711844058485
156,156,"Uh, gee, I thought Mr. Rizzo could do it for us. You know?",J'ai pensé que M. Rizzo pourrait le faire.,Je pensais que M. Rizzo pourrait le faire pour nous.,Je pensais que M. Rizzo pourrait le faire pour nous.,53.3167536340577,53.3167536340577
157,157,"In software development process, errors can be injected at any stages during development.","Dans le procédé de développement de logiciel, des erreurs peuvent être injectées à toutes les étapes pendant le développement.","Dans le processus de développement logiciel, les erreurs peuvent être injectées à n'importe quel stade du développement.","Dans le processus de développement logiciel, les erreurs peuvent être injectées à n'importe quel stade du développement.",26.24087769829643,26.24087769829643
158,158,"No, it's my way of telling you I'm tired.","Non, c'est ma manière de dire que je suis fatiguée.","Non, c'est ma façon de te dire que je suis fatigué.","Non, c'est ma façon de te dire que je suis fatiguée.",40.89601472043678,59.230330720232516
159,159,Not planning on it.,Je n'ai rien planifié.,Je n'y planifie pas.,Je n'y ai pas pensé.,12.703318703865365,9.652434877402245
160,160,I really am.,- Je le suis vraiment.,Vraiment.,Vraiment.,0.0,0.0
161,161,Organizational matters 16,Questions d'organisation 16,Questions d'organisation 16,Questions d'organisation 16,0.0,0.0
162,162,"To the east lies the eastern Ontario plain, between the Ottawa and St Lawrence rivers.",À l'est se trouve la plaine de l'Ontario oriental entre la rivière des Outaouais et le fleuve Saint-Laurent.,"À l'est se trouve la plaine de l'est de l'Ontario, entre les rivières Ottawa et Saint-Laurent.","À l'est se trouve la plaine de l'est de l'Ontario, entre les rivières Ottawa et Saint-Laurent.",38.03773678954962,38.03773678954962
163,163,"Figure 7: Four mutants of the Dahlia variety ""Salmon Rays"".",Figure 7: Quatre mutants de la variété de dahlia «Salmon Rays ».,Figure 7 : Quatre mutants de la variété Dahlia « Rayons de saumon ».,"Figure 7: Quatre mutants de la variété Dahlia ""Salmon Rays"".",53.2800971987552,54.3742768222752
164,164,- Harriet...,- Harriet...,- Harriet...,- Harriet...,100.00000000000004,100.00000000000004
165,165,The MBMC offer facilities and services to researchers,Le CMCM offre des installations et des services aux chercheurs.,Le MBMC offre des installations et des services aux chercheurs,Le MBMC offre des installations et des services aux chercheurs,70.80735452207037,70.80735452207037
166,166,"All rooms, compartments, pits and other enclosures below ground floor;? 2.","Tous les lieux, compartiments, puits et autres espaces fermés situés sous le rez-dechaussée;? 2.","Toutes les pièces, les compartiments, les fosses et les autres enceintes sous le rez-de-chaussée;? 2.","Toutes les pièces, compartiments, fosses et autres enceintes sous le rez-de-chaussée;? 2.",17.92334464048543,22.911821493551184
167,167,Earned a careless holiday in Washington DC? With car rental you can just make your plans on the go.,Vous partez pour des vacances insouciantes à Washington DC? La location de voiture vous permet vous organiser tout en vous déplaçant.,"Vous avez gagné des vacances insouciantes à Washington DC? Avec la location de voiture, vous pouvez simplement faire vos plans sur la route.","Vous avez gagné des vacances insouciantes à Washington DC? Avec la location de voiture, vous pouvez simplement faire vos plans sur la route.",28.880056375088657,28.880056375088657
168,168,"The Foundation is dedicated to the people of Nova Scotia, especially to all those who worked tirelessly and heroically during the recovery of Flight SR 111 as well as the communities surrounding St. Margaret’s Bay, whose lives were changed by this tragic event.","La Fondation est dédiée aux habitants de la Nouvelle-Ecosse, spécialement à toutes les personnes qui ont participé infatigablement et héroïquement aux opérations de sauvetage ainsi qu’aux communautés situées autour de St. Margaret’s Bay, dont les vies ont été bouleversées par ce tragique accident.","La Fondation est dédiée aux habitants de la Nouvelle-Écosse, en particulier à tous ceux qui ont travaillé sans relâche et héroïquement pendant le rétablissement du vol SR 111 ainsi qu'aux collectivités entourant la baie de St. Margaret, dont la vie a été changée par cet événement tragique.","La Fondation est dédiée aux habitants de la Nouvelle-Écosse, en particulier à tous ceux qui ont travaillé inlassablement et héroïquement pendant le rétablissement du vol SR 111 ainsi quaux collectivités entourant la baie St. Margaret, dont la vie a été changée par cet événement tragique.",20.24746973933765,19.655640132641203
169,169,Alberta Infrastructure filed written submissions regarding its progress in fulfilling the terms set out in the Board Order.,Alberta Infrastructure a déposé des mémoires écrits concernant la progression de l'exécution des conditions énoncées à l'ordonnance du NRCB.,Alberta Infrastructure a déposé des observations écrites au sujet des progrès qu'elle a réalisés dans le respect des conditions énoncées dans l'ordonnance de l'Office.,Alberta Infrastructure a déposé des observations écrites sur les progrès qu'elle a réalisés pour respecter les conditions énoncées dans l'ordonnance de l'Office.,20.42128370387497,19.38341802345665
170,170,James Patterson likes my writing!,James Patterson aime mon écriture !,James Patterson aime mon écriture !,James Patterson aime mon écriture !,100.00000000000004,100.00000000000004
171,171,The representative of Japan stressed the importance of the construction services sector in the development of developing countries. In this regard there was a need to strengthen their domestic capacities in the construction services sector.,"Le représentant du Japon a souligné le rôle important joué par le secteur des services de construction dans le développement des pays en développement, et en particulier la nécessité de renforcer leurs capacités dans ce domaine.","Le représentant du Japon a souligné l'importance du secteur des services de construction dans le développement des pays en développement, et a souligné à cet égard qu'il fallait renforcer leurs capacités nationales dans le secteur des services de construction.","Le représentant du Japon a souligné l'importance du secteur des services de construction dans le développement des pays en développement, et il fallait à cet égard renforcer leurs capacités nationales dans ce secteur.",50.097227638412065,52.04924553936347
172,172,"This scheme, initiated by AnCO, to fill a gap in current youth training policy brings a number of young workers into training who would not normally be included under AnCO training schemes.","Ce programme, mis en route par L'AnCO pour combLer une lacune dans La politique actuelle de formation des jeunes, assure une formation à un certain nombre de travai ILeurs qui, normalement, ne bénéficieraient pas des programmes de formation de L'AnCO.","Ce programme, lancé par l'AnCO, pour combler une lacune dans la politique actuelle de formation des jeunes, amène un certain nombre de jeunes travailleurs à suivre une formation qui ne serait normalement pas incluse dans les programmes de formation de l'AnCO.","Ce programme, lancé par AnCO, pour combler une lacune dans la politique actuelle de formation des jeunes, amène un certain nombre de jeunes travailleurs à suivre une formation qui ne serait normalement pas incluse dans les programmes de formation AnCO.",31.654829215284916,28.87380514278196
173,173,This unique opportunity allowed youth to interact in real time and connect with others in a way that would previously have been a formidable logistical challenge.,"Cette occasion unique a permis aux jeunes d'interagir en temps réel et de communiquer les uns avec les autres d'une façon qui, jusqu'à maintenant, dépassait la technologie.",Cette occasion unique a permis aux jeunes d'interagir en temps réel et de communiquer avec les autres d'une manière qui aurait été auparavant un formidable défi logistique.,Cette occasion unique a permis aux jeunes d'interagir en temps réel et de communiquer avec les autres d'une manière qui aurait été auparavant un formidable défi logistique.,53.5469812947507,53.5469812947507
174,174,So I'm taking care of it myself. The DNA.,Alors je vais m'occuper moi-même de l'ADN.,"Je m'en occupe moi-même, l'ADN.","Je m'en occupe moi-même, l'ADN.",12.600736402830258,12.600736402830258
175,175,The modifications to the existing text are marked in bold characters.,Les modifications apportées au texte apparaissent en caractères gras.,Les modifications apportées au texte actuel sont indiquées en caractères gras.,Les modifications apportées au texte actuel sont indiquées en caractères gras.,53.107253497886994,53.107253497886994
176,176,- I love you.,‎ - Je t'aime‎.,- Je t'aime.,- Je t'aime.,27.534765745159184,27.534765745159184
177,177,"Well, I do.","Eh bien, je le veux.","Eh bien, je le sais.","Eh bien, je le sais.",64.34588841607616,64.34588841607616
178,178,I'm trying.,J'essaye.,J'essaie.,J'essaie.,0.0,0.0
179,179,"While States, including Canada, participated in the experts' process, it was clear to Canadian representatives that the experts were crafting a Declaration by and for indigenous peoples, and that the concerns of States were not given adequate consideration in this process.","Bien que des états, dont le Canada, y aient participé, il était clair pour les représentants canadiens que les experts étaient en train d'élaborer une déclaration conçue par et pour les peuples autochtones et que les préoccupations des états n'étaient pas suffisamment prises en compte.","Bien que les États, y compris le Canada, aient participé au processus d'experts, il était clair pour les représentants canadiens que les experts élaboraient une déclaration par et pour les peuples autochtones, et que les préoccupations des États n'avaient pas été dûment prises en considération dans ce processus.","Bien que les États, y compris le Canada, aient participé au processus d'experts, il était clair pour les représentants canadiens que les experts élaboraient une déclaration par et pour les peuples autochtones, et que les préoccupations des États n'avaient pas été dûment prises en considération dans ce processus.",41.704890765109006,41.704890765109006
180,180,!,!,Qu'est-ce qu'il y a ?,!,0.0,0.0
181,181,He'd wired it into a vest.,Il l'avait placé dans une veste.,Il l'avait mis dans un gilet.,Il l'avait mis dans un gilet.,15.619699684601283,15.619699684601283
182,182,"An initial description of the situation would be given, with a very precise physical description of the billiard table and balls, as well as initial positions of all the balls.","Une description initiale de la scène devrait être donnée, avec une description physique précise de la table de billard et des billes, de même que les positions initiales de toutes les billes.","Une description initiale de la situation serait donnée, avec une description physique très précise de la table de billard et des boules, ainsi que les positions initiales de toutes les boules.","Une description initiale de la situation serait donnée, avec une description physique très précise de la table de billard et des boules, ainsi que les positions initiales de toutes les boules.",59.33976387704954,59.33976387704954
183,183,"OJ L 90, 27.3.2004, p. 67.","JO L 90 du 27.3.2004, p. 67.","JO L 90 du 27.3.2004, p. 67.","JO L 90 du 27.3.2004, p. 67.",100.00000000000004,100.00000000000004
184,184,This place is starting to get on my nerves.,Cet endroit commence à me taper sur les nerfs.,Cet endroit commence à m'énerver.,Cet endroit commence à m'énerver.,27.585129929794586,27.585129929794586
185,185,We're calling it a day.,On arrête pour aujourd'hui.,On appelle ça une journée.,On appelle ça un jour.,9.652434877402245,9.652434877402245
186,186,Missing debug symbols,Symboles de débogage manquants@info: progress,Symboles de débogage manquants,Signes de débogage manquants,36.78794411714425,21.874242445215206
187,187,"CCW/CONF.I/16 (Part I), annex B.","CCW/CONF.I/16 (Part I), annexe B.","CCW/CONF.I/16 (Part I), annexe B.","CCW/CONF.I/16 (Part I), annexe B.",100.00000000000004,100.00000000000004
188,188,"In 1997 I created the ""Iceland Sundaes"" web site (http://www.magelis.com/isundaes), a personal meditation on the relationship between city and network.","En 1997, réalisation du site web ""Iceland Sundaes"" (http://www.magelis.com/isundaes), une méditation personnelle sur la relation entre le web et la ville.","En 1997, j'ai créé le site Web ""Iceland Sundaes"" (http://www.magelis.com/isundaes), une méditation personnelle sur la relation entre la ville et le réseau.","En 1997, j'ai créé le site web ""Iceland Sundaes"" (http://www.magelis.com/isundaes), une méditation personnelle sur la relation entre la ville et le réseau.",70.39325439573163,75.26179132559759
189,189,"o Archives Proactive Disclosure Response Statements Response Statements - Rusty Cord-moss This species is endemic to western North America where it occurs in southern British Columbia, and has been reported from Montana, Arizona, and New Mexico.","o Archives Divulgation proactive Ã?noncÃ©s de rÃ©action Ã?noncÃ©s de rÃ©action - Entosthodon rouilleux Cette espèce est endémique dans la partie occidentale de l'Amérique du Nord. Elle est présente dans le sud de la Colombie-Britannique, et a été observée du Montana jusqu'en Arizona et au Nouveau-Mexique.","o Archives Divulgation proactive Ã?noncÃ©s de rÃ©action Ã?noncÃ©s de rÃ©action - Cord-mouss rustique Cette espÃ ̈ce est endémique de l'ouest de l'AmÃ©rique du Nord oÃ1 elle se trouve dans le sud de la Colombie-Britannique, et elle a Ã©tÃ© rapportÃ©e du Montana, de l'Arizona et du Nouveau-Mexique.","o Archives Divulgation proactive Ã?noncÃ©s de rÃ©action Ã?noncÃ©s de rÃ©action - Cord-mouss rouilleux Cette espÃ ̈ce est endémique Ã lâEUR(TM)ouest de lâEUR(TM)AmÃ©rique du Nord oÃ1 elle se trouve dans le sud de la Colombie-Britannique, et elle a Ã©tÃ© rapportÃ©e du Montana, de lâEUR(TM)Arizona et du Nouveau-Mexique.",44.78141326302691,37.53925161469542
190,190,Anytime.,De rien.,N'importe quand.,N'importe quand.,0.0,0.0
191,191,Article 40,Article 40,Le présent règlement est obligatoire dans tous ses éléments et directement applicable dans tout État membre.,Article 40,0.0,0.0
192,192,"In addition, the guarantee was collateralised by business mortgages [10] with a registered value of FIM 25 million and FIM 30,5 million respectively on movable assets of Karjaportti.","Le complément consistait en hypothèques d’entreprises [10], pour une valeur enregistrée de 25 millions FIM, ainsi qu’en hypothèques de biens meubles de Karjaportti d'une valeur de 30,5 millions FIM.","En outre, la garantie a été garantie par des hypothèques commerciales [10] d'une valeur enregistrée de 25 millions de FIM et 30,5 millions de FIM respectivement sur des actifs mobiliers de Karjaportti.","En outre, la garantie a été garantie par des hypothèques commerciales [10] d'une valeur enregistrée de 25 millions de FIM et de 30,5 millions de FIM respectivement sur des actifs mobiliers de Karjaportti.",17.864866390812015,18.84710726871523
193,193,He was black and 6 feet tall.,Il est noir et mesure 1m80.,Il était noir et grand de 6 pieds.,Il était noir et grand de 6 pieds.,11.339582221952005,11.339582221952005
